Длина_ряда,Доля_пропусков,Доля_выбросов,ADF_статистика,ADF_pvalue,Сила_тренда,Сила_сезонности,Магазин_ID,Номенклатура_ID
740,0.0,0.027027027027027,-22.000502374427384,0.0,0.1626504062974736,0.0126984769253754,Store_001,Item_00343
588,0.0,0.0153061224489795,-9.378892201567943,7.044381757892002e-16,0.1307210141681874,0.0096458269126569,Store_001,Item_02000
787,0.0,0.0241423125794155,-25.71067174346854,0.0,0.1553756844533342,0.0224180747580658,Store_001,Item_01589
761,0.0,0.0039421813403416,-6.893392743677672,1.3377811517572727e-09,0.1590928987146676,0.0109770991618197,Store_001,Item_02642
771,0.0,0.0233463035019455,-27.45979084942793,0.0,0.1553572048419109,0.0058183183508253,Store_001,Item_01594
776,0.0,0.0141752577319587,-27.296279066984173,0.0,0.1487012129679651,0.0049488890848924,Store_001,Item_07359
758,0.0,0.0013192612137203,-26.90001654276108,0.0,0.0495852328165214,0.0070790842605535,Store_001,Item_03399
771,0.0,0.0220492866407263,-28.158841488639005,0.0,0.143170964908263,0.0051699648075578,Store_001,Item_00290
43,0.0,0.0232558139534883,-3.317522024184979,0.0141131781040894,0.0247699684193074,0.2275305128632449,Store_001,Item_00923
709,0.0,0.0451339915373765,-23.83595107770468,0.0,0.162289238422204,0.0056513963623618,Store_001,Item_01299
448,0.0,0.0178571428571428,-22.785058018355866,0.0,0.1354923240568008,0.0161572040000336,Store_001,Item_01179
617,0.0,0.0307941653160453,-23.61805186929523,0.0,0.145605147710807,0.009145470525358,Store_001,Item_00525
620,0.0,0.0129032258064516,-4.414879321617745,0.0002793427827343,0.1240137796189904,0.008934862732633,Store_001,Item_08141
622,0.0,0.0418006430868167,-3.632691193014765,0.0051659344801963,0.1510961230617481,0.0104668428749211,Store_001,Item_00360
747,0.0,0.0053547523427041,-12.694356043550616,1.1144143987105029e-23,0.1367767344365002,0.0070014811906739,Store_001,Item_02163
74,0.0,0.0675675675675675,-6.83327840013076,1.870007800971649e-09,0.080184056763788,0.0619711415259013,Store_001,Item_00851
585,0.0,0.0068376068376068,-26.904249489260327,0.0,0.1242427256595085,0.0130071636191526,Store_001,Item_09797
349,0.0,0.0085959885386819,-18.70890846131735,2.0351726246418413e-30,0.068997021953762,0.0123393386787297,Store_001,Item_09997
731,0.0,0.0095759233926128,-26.281957291453235,0.0,0.1562634556465901,0.0068900578978696,Store_001,Item_10106
683,0.0,0.0175695461200585,-27.24072229317066,0.0,0.1226345349034207,0.0165209046976812,Store_001,Item_07965
632,0.0,0.0189873417721519,-5.414236148854284,3.161636185156861e-06,0.1587244203852475,0.0130618600039609,Store_001,Item_07984
533,0.0,0.0112570356472795,-23.218967653429637,0.0,0.1135074037179818,0.0090652672187282,Store_001,Item_04935
344,0.0,0.0116279069767441,-22.76110036992459,0.0,0.0893568325673154,0.0183938057486798,Store_001,Item_10101
210,0.0,0.0238095238095238,-11.131450611262856,3.274399665209845e-20,0.0846223497964655,0.0446367452835446,Store_001,Item_10102
705,0.0,0.0156028368794326,-12.819029660662911,6.2103236048838375e-24,0.1346339633771633,0.0041152689212825,Store_001,Item_09996
577,0.0,0.0086655112651646,-3.540752023957157,0.007000139373674,0.1121647594070156,0.014179218992927,Store_001,Item_10098
597,0.0,0.016750418760469,-5.416185050696877,3.1319162062985606e-06,0.133386689219078,0.0161380404380354,Store_001,Item_00727
689,0.0,0.0029027576197387,-26.00224160403939,0.0,0.144889309469155,0.0088296672395725,Store_001,Item_05459
649,0.0,0.0184899845916795,-26.47402861689974,0.0,0.1281374772705096,0.0062399276790464,Store_001,Item_10276
427,0.0,0.009367681498829,-20.73781914419023,0.0,0.0857138610980649,0.0166213558082083,Store_001,Item_05394
541,0.0,0.022181146025878,-23.58659266100508,0.0,0.1195934103448362,0.0135083780759914,Store_001,Item_02209
620,0.0,0.0096774193548387,-25.04259097797169,0.0,0.1021759942925518,0.0056122671234647,Store_001,Item_00346
605,0.0,0.028099173553719,-17.311009287790228,5.554415542759082e-30,0.2370982362146116,0.0056849069358234,Store_001,Item_01748
451,0.0,0.0110864745011086,-21.356699119598627,0.0,0.0949901059536105,0.0041261744039471,Store_001,Item_08703
583,0.0,0.0240137221269296,-10.101643090081645,1.05567537441594e-17,0.1754447718571605,0.0068796877374695,Store_001,Item_03156
590,0.0,0.023728813559322,-25.9914971840506,0.0,0.1347107577301359,0.0175100704155539,Store_001,Item_01749
411,0.0,0.0145985401459854,-9.640965599002564,1.5213242471317402e-16,0.1132429797749344,0.0122229270251896,Store_001,Item_02782
71,0.0,0.0422535211267605,-1.67316071201622,0.4449912212977882,0.1257007905202898,0.1006566982080402,Store_001,Item_07361
661,0.0,0.0075642965204236,-25.752335195933565,0.0,0.129400071344551,0.0104308872144004,Store_001,Item_01830
660,0.0,0.0166666666666666,-25.950878885973115,0.0,0.1275675122886407,0.0045770338713772,Store_001,Item_03284
727,0.0,0.0371389270976616,-26.32761739935585,0.0,0.1585396938705343,0.016248523397358,Store_001,Item_05492
2,0.0,0.0,,,,,Store_001,Item_04805
254,0.0,0.0118110236220472,-15.969725373783286,7.026656050477458e-29,0.0683230219480262,0.016713545646647,Store_001,Item_01275
645,0.0,0.0217054263565891,-7.420547506488492,6.754496511060258e-11,0.1346351250883824,0.0077838858482341,Store_001,Item_02417
186,0.0,0.0161290322580645,-13.676410307351388,1.4274972719209063e-25,0.067410863642881,0.0163252789379938,Store_001,Item_03343
427,0.0,0.0374707259953161,-12.56856814264632,2.027785271436016e-23,0.1558415175659879,0.0123227868745405,Store_001,Item_00776
494,0.0,0.0263157894736842,-4.070547476117677,0.0010829753705889,0.1503775189158683,0.0099475275373285,Store_001,Item_03157
467,0.0,0.006423982869379,-21.0524538675459,0.0,0.1443239201490832,0.0254213375217915,Store_001,Item_03227
556,0.0,0.0107913669064748,-14.206796807342622,1.749172857143348e-26,0.1428974906289046,0.009742735439036,Store_001,Item_10214
389,0.0,0.0282776349614395,-16.472148145977602,2.2778369734796705e-29,0.0824626361822924,0.0051068860852507,Store_001,Item_02792
580,0.0,0.0258620689655172,-10.636216482332328,5.06446446290995e-19,0.1745818056526173,0.0039907756779248,Store_001,Item_09684
207,0.0,0.0144927536231884,-22.72800632097098,0.0,0.0574089575238158,0.0144594968457504,Store_001,Item_02573
587,0.0,0.0238500851788756,-7.623972488184552,2.0923626019739983e-11,0.2957428379337308,0.0161439417032539,Store_001,Item_01814
368,0.0,0.0108695652173913,-36.75762415227586,0.0,0.0601155946723112,0.0083729464194264,Store_001,Item_00586
2,0.0,0.0,,,,,Store_001,Item_09694
617,0.0,0.0226904376012965,-25.221144735549267,0.0,0.123161264655143,0.0104699455173759,Store_001,Item_00347
116,0.0,0.0517241379310344,-11.124832797031358,3.394579162515291e-20,0.1187836428634533,0.0834395887297405,Store_001,Item_05474
1,0.0,0.0,,,,,Store_001,Item_04326
229,0.0,0.0043668122270742,-3.018112909313097,0.0332371572946456,0.0240732548511915,0.0287692451091563,Store_001,Item_04770
38,0.0,0.0526315789473684,-6.082762530298226,1.0822533964184848e-07,0.0320515323476329,0.120504670122017,Store_001,Item_02790
